factor,top5_abs_weight_share,max_abs_weight,gross_leverage_proxy,long_count,short_count
PC1,0.11170694656687381,0.0223413893133747,0.9999999999999972,0,49
PC2,0.1498772878922935,0.0299754575784586,0.9999999999999968,27,22
PC3,0.1703842345490079,0.0340768469098015,0.9999999999999977,20,29
PC4,0.1907453662152346,0.0381490732430468,0.9999999999999967,25,24
PC5,0.18558840906513496,0.0371176818130269,0.9999999999999977,25,24
PC6,0.18402588292227437,0.0368051765844548,0.9999999999999981,32,17
PC7,0.1846447113145564,0.0369289422629112,0.9999999999999979,25,24
PC8,0.20032697960575854,0.0400653959211516,0.9999999999999973,24,25
PC9,0.17049971123236235,0.0340999422464724,0.9999999999999979,20,29
PC10,0.20921930736073246,0.0418438614721464,0.9999999999999979,24,25
