,Type,Mean_Return,Volatility,Sharpe_Ratio,Skewness,Kurtosis
PC1,PCA,-0.9898579857675878,1.0757149583607306,-0.9201861311624975,0.4091225852251163,3.043920047097193
PC2,PCA,-0.3190429646392584,0.5391520343599433,-0.5917495331683421,0.29651398732944,1.5122883486833865
PC3,PCA,-0.18061939399472368,0.36551444470392086,-0.49415117955470006,0.27897209567850095,2.993449575415157
PC4,PCA,0.04687250393554419,0.2702142116394623,0.1734642439831573,0.0029868934096479024,1.3298231010839214
PC5,PCA,-0.055563049092929626,0.2962519619830849,-0.1875533539794822,0.04635102347429911,1.1432351663006375
PC6,PCA,0.15579935505794917,0.2511153021801964,0.6204295544926609,-0.07943590050789995,1.03425584552958
PC7,PCA,-0.019674902272527193,0.2147935371372039,-0.09159913531271396,-0.13324752263057174,1.1153994408296835
PC8,PCA,0.10389865367475956,0.2243973358973304,0.4630119749830578,0.01714161998982092,1.3930923651452605
PC9,PCA,0.010324906524057278,0.25252783925072103,0.04088621102010953,0.1093626077011251,0.5781010554666781
PC10,PCA,0.26292993548779575,0.3675324555151516,0.7153924273687889,0.08400290040116785,1.5970327427729596
Momentum,Classical,0.01794718844378155,0.14139485145946057,0.12692957528886548,-0.20460736305837401,1.8974755550811548
Value,Classical,-0.41360160433952164,0.14479483556942502,-2.8564665494662025,0.34848507048639044,2.6066211272577315
Size,Classical,0.031823079990088106,0.0924355376681389,0.3442732177784154,0.17580005236644194,1.3259668506466267
Quality,Classical,0.601570297992219,0.13530324602024793,4.446089178837549,-0.03878777838395087,1.855052387151336
LowVol,Classical,-0.06539235806326445,0.17777137357448403,-0.3678452652325705,0.15232361598669247,1.5883574598594987
