factor,sharpe,sharpe_ci_05,sharpe_ci_95,max_drawdown,hit_rate,decision,top5_abs_weight_share,max_abs_weight,gross_leverage_proxy,long_count,short_count
PC1,-0.9201861311624965,-1.4602465003238774,-0.37772893242609723,-0.9999998948399936,0.44669848846459825,do not deploy,0.11170694656687381,0.0223413893133747,0.9999999999999972,0.0,49.0
PC2,-0.5917495331683406,-1.163196518319154,-0.05266891750045235,-0.9915153537832507,0.4518695306284805,do not deploy,0.1498772878922935,0.0299754575784586,0.9999999999999968,27.0,22.0
PC3,-0.494151179554699,-1.0482952732764703,0.046251633858039466,-0.9359436222821947,0.4701670644391408,do not deploy,0.1703842345490079,0.0340768469098015,0.9999999999999977,20.0,29.0
PC4,0.1734642439831566,-0.3240747863738402,0.7015646247016952,-0.4577495347523064,0.5119331742243437,do not deploy,0.1907453662152346,0.0381490732430468,0.9999999999999967,25.0,24.0
PC5,-0.1875533539794811,-0.6614032623102225,0.3113692959088278,-0.8305069920794813,0.4880668257756563,do not deploy,0.18558840906513496,0.0371176818130269,0.9999999999999977,25.0,24.0
PC6,0.6204295544926608,0.09368582330573798,1.1388922252657379,-0.44249389328303956,0.5194908512330947,do not deploy,0.18402588292227437,0.0368051765844548,0.9999999999999981,32.0,17.0
PC7,-0.09159913531271478,-0.6449491134049408,0.4287726903048611,-0.5953644612336574,0.5083532219570406,do not deploy,0.1846447113145564,0.0369289422629112,0.9999999999999979,25.0,24.0
PC8,0.4630119749830574,-0.06008243510324902,0.9639659953563083,-0.34785039936296214,0.5159108989657916,do not deploy,0.20032697960575854,0.0400653959211516,0.9999999999999973,24.0,25.0
PC9,0.04088621102011042,-0.5004958421143998,0.6104820368211171,-0.6934994798417056,0.49522673031026254,do not deploy,0.17049971123236235,0.0340999422464724,0.9999999999999979,20.0,29.0
PC10,0.71539242736879,0.21228897509782452,1.2584340911832552,-0.604034877041197,0.515115354017502,do not deploy,0.20921930736073246,0.0418438614721464,0.9999999999999979,24.0,25.0
Momentum,0.12692957528886278,-0.40652996340904207,0.636848418145476,-0.2982614191644396,0.49443118536197295,do not deploy,,,,,
Value,-2.8564665494661936,-3.396636290437155,-2.2833502953951754,-0.9861036971154477,0.3432776451869531,do not deploy,,,,,
Size,0.3442732177784206,-0.16784857063932412,0.8679402268149079,-0.20094664329106915,0.4824980111376293,do not deploy,,,,,
Quality,4.446089178837541,3.925124199672954,4.9743955222592,-0.09492744353953297,0.6070007955449482,research further,,,,,
LowVol,-0.36784526523256894,-0.9180198720102801,0.13442211575823323,-0.5899875961027925,0.46539379474940334,do not deploy,,,,,
