,Eigenvalue,Explained_Variance,Cumulative_Variance
PC1,19.550690361923404,0.3989936808555801,0.3989936808555801
PC2,3.692298344243466,0.0753530274335402,0.47434670828912034
PC3,2.372496193043256,0.048418289653944055,0.5227649979430644
PC4,1.649243361173923,0.03365802777905969,0.5564230257221241
PC5,1.1426421221382184,0.023319226982412646,0.5797422527045367
PC6,1.0736534120575636,0.021911294123623772,0.6016535468281605
PC7,0.9285415409419822,0.018949827366162922,0.6206033741943234
PC8,0.8779236573670497,0.017916809334021445,0.6385201835283448
PC9,0.826809736045929,0.01687366808257,0.6553938516109148
PC10,0.7745919688484698,0.015807999364254505,0.6712018509751693
