,,Regime,N_Obs,Mean_Return,Volatility,Sharpe_Ratio,Skewness,Max_Drawdown,Hit_Rate
normal,Momentum,normal,2479,0.008161519998703041,0.13989946001896397,0.05833846676460876,-0.24215880054877398,-0.30149250914488357,0.49415086728519564
normal,Value,normal,2479,-0.3973887163381542,0.14329457936742404,-2.7732292323438354,0.40792467695055795,-0.9826690031076235,0.34288019362646227
normal,Size,normal,2479,0.02596355797364534,0.09227095479851274,0.28138386592336234,0.15468796637069143,-0.21443032129208914,0.47962888261395725
normal,Quality,normal,2479,0.584782746168725,0.13375440698908075,4.3720633909016895,-0.08516627098746411,-0.09492746832643915,0.6066962484872933
normal,LowVol,normal,2479,-0.0807278783440749,0.17639412743433244,-0.4576562696177517,0.15156468728999442,-0.6425709107733052,0.46308995562726907
crisis,Momentum,crisis,35,0.6783093813762544,0.22452458846111054,3.021091747791993,0.14045544566704382,-0.04223513693163631,0.5142857142857142
crisis,Value,crisis,35,-1.5619331040280091,0.21821801470761415,-7.157672596924737,-0.3203564948471612,-0.20468922924121705,0.37142857142857144
crisis,Size,crisis,35,0.28598564164155954,0.09217357897967232,3.1026856590284937,0.5955170040255536,-0.035378325291659116,0.4857142857142857
crisis,Quality,crisis,35,1.7906074976829571,0.20823155080180347,8.599117140453284,0.20042350892471214,-0.020473599324076924,0.6285714285714286
crisis,LowVol,crisis,35,1.0207943041175802,0.2513849758169961,4.060681434123178,-0.2742415368906995,-0.05443271039610529,0.6285714285714286
